"Deaths registered weekly, by sex and age"
"Topic: |Deaths"
""
"Age, 31 December";"Total";"Total";"Total";"0 to 64 years";"0 to 64 years";"0 to 64 years";"65 to 79 years";"65 to 79 years";"65 to 79 years";"80 years or older";"80 years or older";"80 years or older"
"Sex";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female";"Total male and female";"Male";"Female"
"Periods";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"1997 week 10";"2640";"1336";"1304";"488";"318";"170";"921";"533";"388";"1231";"485";"746"
"1997 week 11";"2529";"1271";"1258";"500";"288";"212";"922";"549";"373";"1107";"434";"673"
"1997 week 12";"2467";"1209";"1258";"467";"269";"198";"909";"530";"379";"1091";"410";"681"
"1997 week 13";"2483";"1196";"1287";"481";"291";"190";"842";"494";"348";"1160";"411";"749"
"1997 week 14";"2546";"1271";"1275";"506";"317";"189";"878";"518";"360";"1162";"436";"726"
"1997 week 15";"2451";"1231";"1220";"472";"287";"185";"884";"534";"350";"1095";"410";"685"
"1997 week 16";"2455";"1242";"1213";"513";"298";"215";"878";"540";"338";"1064";"404";"660"
"1997 week 17";"2649";"1335";"1314";"486";"317";"169";"938";"556";"382";"1225";"462";"763"
"1997 week 18";"2646";"1284";"1362";"525";"318";"207";"895";"526";"369";"1226";"440";"786"
"1997 week 19";"2437";"1217";"1220";"492";"300";"192";"846";"520";"326";"1099";"397";"702"
"1997 week 20";"2611";"1280";"1331";"482";"290";"192";"887";"547";"340";"1242";"443";"799"
"1997 week 21";"2483";"1214";"1269";"483";"279";"204";"855";"514";"341";"1145";"421";"724"
"1997 week 22";"2426";"1282";"1144";"489";"309";"180";"885";"562";"323";"1052";"411";"641"
"1997 week 23";"2709";"1333";"1376";"509";"304";"205";"938";"581";"357";"1262";"448";"814"
"1997 week 24";"2555";"1273";"1282";"515";"309";"206";"881";"523";"358";"1159";"441";"718"
"1997 week 25";"2391";"1190";"1201";"476";"298";"178";"868";"510";"358";"1047";"382";"665"
"1997 week 26";"2372";"1160";"1212";"465";"288";"177";"852";"477";"375";"1055";"395";"660"
"1997 week 27";"2409";"1199";"1210";"467";"289";"178";"856";"503";"353";"1086";"407";"679"
"1997 week 28";"2486";"1191";"1295";"504";"294";"210";"889";"520";"369";"1093";"377";"716"
"1997 week 29";"2402";"1202";"1200";"475";"304";"171";"818";"501";"317";"1109";"397";"712"
"1997 week 30";"2369";"1144";"1225";"479";"298";"181";"821";"476";"345";"1069";"370";"699"
"1997 week 31";"2352";"1105";"1247";"485";"300";"185";"802";"466";"336";"1065";"339";"726"
"1997 week 32";"2434";"1210";"1224";"504";"311";"193";"850";"522";"328";"1080";"377";"703"
"1997 week 33";"2943";"1422";"1521";"526";"340";"186";"984";"605";"379";"1433";"477";"956"
"1997 week 34";"2809";"1353";"1456";"503";"306";"197";"977";"572";"405";"1329";"475";"854"
"1997 week 35";"2488";"1270";"1218";"431";"274";"157";"883";"539";"344";"1174";"457";"717"
"1997 week 36";"2307";"1191";"1116";"455";"302";"153";"839";"511";"328";"1013";"378";"635"
"1997 week 37";"2402";"1191";"1211";"457";"276";"181";"902";"515";"387";"1043";"400";"643"
"1997 week 38";"2433";"1227";"1206";"491";"302";"189";"905";"550";"355";"1037";"375";"662"
"1997 week 39";"2360";"1159";"1201";"455";"279";"176";"887";"499";"388";"1018";"381";"637"
"1997 week 40";"2386";"1200";"1186";"477";"302";"175";"877";"516";"361";"1032";"382";"650"
"1997 week 41";"2557";"1269";"1288";"500";"308";"192";"873";"518";"355";"1184";"443";"741"
"1997 week 42";"2441";"1236";"1205";"493";"310";"183";"864";"526";"338";"1084";"400";"684"
"1997 week 43";"2549";"1253";"1296";"485";"293";"192";"909";"532";"377";"1155";"428";"727"
"1997 week 44";"2450";"1223";"1227";"445";"269";"176";"900";"539";"361";"1105";"415";"690"
"1997 week 45";"2530";"1233";"1297";"508";"318";"190";"875";"507";"368";"1147";"408";"739"
"1997 week 46";"2408";"1191";"1217";"472";"279";"193";"846";"490";"356";"1090";"422";"668"
"1997 week 47";"2446";"1253";"1193";"522";"322";"200";"894";"545";"349";"1030";"386";"644"
"1997 week 48";"2663";"1318";"1345";"543";"348";"195";"910";"541";"369";"1210";"429";"781"
"1997 week 49";"2538";"1250";"1288";"510";"311";"199";"918";"549";"369";"1110";"390";"720"
"1997 week 50";"2670";"1359";"1311";"494";"283";"211";"950";"593";"357";"1226";"483";"743"
"1997 week 51";"2738";"1354";"1384";"537";"348";"189";"963";"544";"419";"1238";"462";"776"
